,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
665,James Hamblin,EDM,L,31,245.66666666667,2,1,1,0,3,33.33,18,11.11,2.96,38,27,27,15,2,4,0,0,0,0,0,2,6,7,14,29,21,81,79,50.63
666,Zach Whitecloud,VGK,D,61,1072.5833333333,2,12,5,7,14,37.84,51,3.92,2.12,141,79,47,5,2,16,32,16,16,0,0,14,23,18,129,139,105,0,0,
667,Kiefer Sherwood,NSH,L,68,827.58333333333,10,17,11,6,27,69.23,109,9.17,10.69,216,165,98,41,11,15,41,16,13,3,0,17,18,35,234,88,22,15,16,48.39
668,Eric Robinson,BUF,L,40,439.88333333333,2,7,5,2,9,60.0,52,3.85,7.15,113,80,71,38,2,12,19,4,2,1,1,2,3,9,72,50,8,3,3,50.0
669,Eric Robinson,CBJ,L,7,92.716666666667,1,0,0,0,1,100.0,9,11.11,1.26,16,12,7,5,1,3,0,0,0,0,0,0,1,3,22,3,3,0,0,
670,Sheldon Rempal,VGK,R,9,89.75,2,1,0,1,3,100.0,16,12.5,1.59,22,20,14,7,1,0,4,2,2,0,0,2,0,2,0,17,3,0,0,
671,Oliver Wahlstrom,NYI,R,32,354.25,2,4,3,1,6,46.15,41,4.88,3.32,82,54,40,13,2,9,8,4,4,0,0,6,10,10,35,32,22,5,7,41.67
672,Martin Fehervary,WSH,D,66,1295.65,3,13,5,8,16,38.1,61,4.92,2.66,139,86,38,5,2,8,24,12,12,0,0,11,14,8,187,134,109,0,0,
673,Joel Farabee,PHI,L,82,1327.2833333333,22,28,19,9,50,78.13,182,12.09,19.46,307,249,165,84,16,22,37,13,11,1,1,13,28,28,67,99,50,30,50,37.5
674,Philipp Kurashev,CHI,C,75,1426.3833333333,18,36,26,10,54,73.97,128,14.06,15.55,280,197,142,61,13,31,23,10,9,1,0,12,28,43,27,73,48,127,147,46.35
675,Quinn Hughes,VAN,D,82,2024.1666666667,17,75,35,40,92,56.79,199,8.54,11.45,540,298,165,9,6,54,38,19,19,0,0,17,52,43,29,130,55,0,0,
